team_name,avg_spacing,std_spacing,min_spacing,won
100%,765.25635,249.21265,177.24925,1
100%,817.15765,255.03331,232.20503,1
100%,818.0402,261.92374,188.87195,0
TEAM VITALITY,732.1437,233.29224,170.04547,1
TEAM VITALITY,767.8763,278.57394,114.1926,0
TEAM VITALITY,749.8896,267.36523,222.38531,1
TEAM VITALITY,642.464,230.07169,319.50616,1
TEAM VITALITY,720.7865,256.12473,166.47131,1
100%,810.7963,259.78745,316.73334,0
100%,783.3949,237.52084,225.96837,1
100%,807.61755,247.69804,266.5242,0
100%,873.1187,265.47427,400.61002,0
NIP,751.1334,241.5442,187.43451,1
NIP,692.0448,232.39035,247.73836,0
KARMINE CORP,754.5763,243.3346,36.059208,1
KARMINE CORP,750.15875,283.7371,51.37897,1
KARMINE CORP,880.76355,260.32895,160.01009,1
NIP,720.8835,239.54642,126.88483,0
NIP,739.1983,222.25925,112.8183,0
NIP,674.8613,234.09282,147.41069,1
NIP,744.87775,252.79774,96.46647,1
NIP,753.3378,261.2839,211.95728,0
GEEKAY ESPORTS,763.44696,271.4713,76.19033,1
GEEKAY ESPORTS,783.8375,259.97952,155.534,1
GEEKAY ESPORTS,766.11676,245.92145,128.28392,1
KARMINE CORP,730.7951,239.90765,154.47353,1
KARMINE CORP,697.6496,217.74802,221.45216,1
KARMINE CORP,727.49164,224.76688,207.99446,0
KARMINE CORP,805.3867,272.54828,249.33809,1
GEEKAY ESPORTS,770.0503,239.81543,213.56726,1
GEEKAY ESPORTS,788.6783,269.168,179.38611,1
KARMINE CORP,757.9699,288.63525,98.68522,0
KARMINE CORP,731.6799,249.57765,212.27234,0
KARMINE CORP,730.7859,281.2262,108.537865,0
GENG MOBIL 1,741.98553,244.59123,204.18774,0
GENG MOBIL 1,783.3025,255.53625,222.88911,1
DELETED GAMING,792.5176,254.78766,175.79979,0
GENG MOBIL 1,771.12524,264.98862,148.10133,1
DELETED GAMING,767.34564,234.59888,170.6559,1
GENG MOBIL 1,816.13544,253.74756,178.50517,1
DELETED GAMING,779.8786,296.9058,142.84064,0
COMPLEXITY,680.5085,220.89697,126.49405,0
PIRATES,723.7075,251.82289,106.16815,0
PIRATES,766.90106,256.0621,159.62354,1
PIRATES,756.24384,243.29083,258.36206,1
COMPLEXITY,742.0206,245.63017,180.90315,0
PIRATES,778.0578,255.1162,168.1503,1
REBELLION,824.6894,233.15112,289.2927,0
COMPLEXITY,728.337,221.06558,148.0196,1
PIRATES,712.0401,246.82622,120.72402,1
REBELLION,765.2388,248.6867,190.49406,1
COMPLEXITY,712.25055,225.4576,207.54533,1
STRICTLY BIZ,704.17975,241.18178,159.14717,0
REBELLION,771.35046,262.72488,183.62547,1
STRICTLY BIZ,775.8971,296.65222,171.84087,0
REBELLION,751.12744,263.6867,44.80833,0
REBELLION,746.1397,238.66957,99.6994,0
DELETED,752.50867,255.582,283.13754,0
DELETED,795.8949,277.42798,135.3809,0
DELETED,788.1329,260.3806,239.13873,0
COMPLEXITY,725.8742,277.15518,166.68788,1
DELETED,809.95154,248.56932,235.72124,0
STRICTLY BIZ,814.6475,270.88892,175.9882,1
DELETED,840.50903,283.45676,167.49231,0
DELETED,835.5795,260.44708,168.00214,1
STRICTLY BIZ,760.57605,249.53015,140.9973,1
GEN.G MOBIL 1,784.45044,284.4136,160.18945,1
GEN.G MOBIL 1,807.3566,270.336,140.9187,0
STRICTLY BIZ,837.47687,251.59814,194.15941,1
GEN.G MOBIL 1,857.7717,272.11652,146.7873,0
LOTUS 8,732.1749,247.94449,59.395615,0
TECH,859.49207,249.1176,159.3802,1
GEN.G MOBIL 1,751.1813,255.89023,236.10382,1
STRICTLY BIZ,787.1873,279.11563,126.45638,0
TECH,823.4157,233.92165,207.54655,0
STRICTLY BIZ,709.44434,265.1807,112.89762,1
LOTUS 8,725.76086,264.97586,120.329346,1
TECH,793.0892,255.33382,250.18274,0
TECH,784.10364,242.23538,188.27162,0
OMELETTE,836.2885,279.38477,161.20464,0
STRICTLY BIZ,767.5724,255.68262,170.83716,0
OMELETTE,851.4081,221.04181,116.10493,0
STRICTLY BIZ,746.4349,256.45004,91.538826,1
STRICTLY BIZ,759.05817,251.79585,180.23311,0
